"","i1","i2","i3","i4","value"
"33642","DE000000","HEIL","FROO","Y",41.8805327710324
"33651","DE000000","HEIL","FCOM","Y",26.435614879083
"33661","DE000000","HEIL","FPRO","Y",24.2483098170962
"3367","DE000000","HEIL","FENE","Y",3.51594339594379
"3368","DE000000","HEIL","FMIL","Y",0.472087212980148
"3369","DE000000","HEIL","FOTH","Y",1.2839322006279
"34632","DE000000","HEIH","FGRA","Y",7519.94279080638
"34642","DE000000","HEIH","FMAI","Y",1598.43128337057
"34652","DE000000","HEIH","FOFA","Y",404.496938322032
"34662","DE000000","HEIH","FROO","Y",43.025095158284
"34672","DE000000","HEIH","FCOM","Y",119.534147032217
"34682","DE000000","HEIH","FPRO","Y",22.3260832741329
"34692","DE000000","HEIH","FENE","Y",9.07836142954751
"34702","DE000000","HEIH","FMIL","Y",1.26490225622543
"34711","DE000000","HEIH","FOTH","Y",3.46321484728973
"35651","DE000000","SCOW","FGRA","Y",614.325587903293
"35661","DE000000","SCOW","FMAI","Y",7559.14934682192
"35671","DE000000","SCOW","FOFA","Y",932.288667581957
"35682","DE000000","SCOW","FROO","Y",13.3471057312958
"35692","DE000000","SCOW","FSTR","Y",271.881956412246
"35702","DE000000","SCOW","FPRO","Y",812.282683707491
"35712","DE000000","SCOW","FENE","Y",15.5994749030672
"35722","DE000000","SCOW","FMIL","Y",2.33801881231957
"35731","DE000000","SCOW","FOTH","Y",6.36557941265808
"36771","DE000000","HEIR","FGRA","Y",17316.8112525591
"36781","DE000000","HEIR","FMAI","Y",1152.95645664513
"3679","DE000000","HEIR","FOFA","Y",2152.41572586382
"3680","DE000000","HEIR","FROO","Y",11.9972830054573
